no,petition_id,title,url,Category1,Category2,Category3,Category4,Category5
1,7838075,Tell Congress: Stop Denying Climate Change,https://api.change.org/p/tell-congress-stop-denying-climate-change,Political,National,,,
2,8051231,Tell Congress: Stop Denying Climate Change,https://api.change.org/p/tell-congress-stop-denying-climate-change-2,Political,National,,,
3,9631427,Tell Trump To #ActOnClimate,https://api.change.org/p/tell-trump-to-actonclimate,Political,National,,,
4,8884979,Call on Leaders to Act: Combat Climate Change Now,https://api.change.org/p/call-on-leaders-to-act-combat-climate-change-now,Political,National,Global,,
5,8124170,CTV_US_RUNUP-CH-30SECONDS,https://api.change.org/p/ctv-us-runup-ch-30seconds,Political,National,US Elections,,
6,8124203,CTV_US_RUNUP-CH-SIMPLE,https://api.change.org/p/ctv-us-runup-ch-simple,Political,National,US Elections,,
7,8024150,Paul Ryan Attacks Climate Action. Fight Back.,https://api.change.org/p/paul-ryan-attacks-climate-action-fight-back,Political,National,,,
8,3281011,"Governor Brown, Members of the California Legislature, Mayors of Cities in California and Directors: Stop punishing California Residents. The water problem is YOUR FAULT and your responsibility to fix!",https://api.change.org/p/governor-brown-members-of-the-california-legislature-mayors-of-cities-in-california-and-directors-stop-punishing-california-residents-the-water-problem-is-your-fault-and-your-responsibility-to-fix,Political,Water,,,
9,8988386,Stand up to Trump’s climate lies,https://api.change.org/p/stand-up-to-trump-s-climate-lies,Political,National,,,
10,2174394,Put climate change on the G20 agenda,https://api.change.org/p/put-climate-change-on-the-g20-agenda,Political,,,,
11,8423936,Congress: Act on Climate for Our Food System,https://api.change.org/p/congress-act-on-climate-for-our-food-system,Political,National,Food,,
12,6320804,Help save the monarch butterfly,https://api.change.org/p/help-save-the-monarch-butterfly,National,Wildlife,,,
13,7358228,Tell your Governor: Protect our children from climate pollution,https://api.change.org/p/tell-your-governor-protect-our-children-from-climate-pollution,National,Political,Clean energy,,
14,7306892,Stand Up Against Climate Action Obstruction.,https://api.change.org/p/stand-up-against-climate-action-obstruction,Political,National,Clean energy,,
15,2954486,Join Earth Hour and take a stand against climate change!,https://api.change.org/p/join-earth-hour-and-take-a-stand-against-climate-change,Global,,,,
16,8060495,Take the 350.org Pledge to Divest from fossil fuels and stop the Big Four banks funding climate and reef destruction,https://api.change.org/p/take-the-350-org-pledge-to-divest-from-fossil-fuels-and-stop-the-big-four-banks-funding-climate-and-reef-destruction,Business greed,Clean energy,,,
17,7420385,Welsh Assembly: Stop UKIP from chairing the Welsh Assembly Climate Change Committee,https://api.change.org/p/welsh-assembly-stop-ukip-from-chairing-the-welsh-assembly-climate-change-committee,Global,,,,
18,8737844,Donald Trump: Get Elon Musk to meet with Donald Trump and discuss climate change and renewable energy,https://api.change.org/p/donald-trump-get-elon-musk-to-meet-with-donald-trump-and-discuss-climate-change-and-renewable-energy,Political,National,Clean energy,,
19,7307930,Thank the NMFS for its Jaw-Some Work!,https://api.change.org/p/thank-the-nmfs-for-its-jaw-some-work,Wildlife,,,,
20,7636292,Stand up to the Koch brothers with these Senate Climate Champs,https://api.change.org/p/stand-up-to-the-koch-brothers-with-these-senate-climate-champs,Political,National,,,
21,6617138,"Hey World Leaders, Sign the Paris Agreement",https://api.change.org/p/hey-world-leaders-sign-the-paris-agreement,Paris Agreement,Global,,,
22,5588070,Petition 3: Climate change petition,https://api.change.org/p/petition-3-climate-change-petition,Global,,,,
23,8787971,U.S. Senate: Don't Let Scott Pruitt Dismantle the EPA,https://api.change.org/p/u-s-senate-don-t-let-scott-pruitt-dismantle-the-epa,National,Political,,,
24,6980147,Tell Your Governor: Fight the Extinction Crisis,https://api.change.org/p/tell-your-governor-fight-the-extinction-crisis,National,Wildlife,Environment,,
25,8726129,Donald Trump: Stop Denying Climate Change,https://api.change.org/p/donald-trump-stop-denying-climate-change,Political,National,,,
26,3790916,Tell Congress to support the work of the United Nations!,https://api.change.org/p/tell-congress-to-support-the-work-of-the-united-nations,National,Political,Human Rights,,
27,118624,Unfair Car Tax Law,https://api.change.org/p/unfair-car-tax-law,Global,Human Rights,,,
28,6115638,Take a stand to protect birds from a changing climate,https://api.change.org/p/take-a-stand-to-protect-birds-from-a-changing-climate,National,Wildlife,,,
29,3582563,"Tom Tidwell, Chief, USDA Forest Service: Stop the destruction of Wolf Creek Pass in SW Colorado",https://api.change.org/p/tom-tidwell-chief-usda-forest-service-stop-the-destruction-of-wolf-creek-pass-in-sw-colorado,National,Wildlife,Urban Planning,,
30,3754755,Premier Andrews: Victorians say no to dirty coal projects,https://api.change.org/p/premier-andrews-victorians-say-no-to-dirty-coal-projects,Global,Clean energy,,,
31,8236892,Remove salmon-killing dams in the Pacific Northwest’s Snake River,https://api.change.org/p/salmon,National,Wildlife,Sustainability,,
32,317417,THE CANADIAN GOVERNMENT: Stop the legal slaughter of Polar Bears by trophy hunters,https://api.change.org/p/the-canadian-government-stop-the-legal-slaughter-of-polar-bears-by-trophy-hunters,Global,Wildlife,,,
33,8738324,President-Elect Donald Trump: Stop President-Elect Trump and U.S. from Withdrawing from COP21 Paris Agreement,https://api.change.org/p/president-elect-donald-trump-stop-president-elect-trump-and-u-s-from-withdrawing-from-cop21-paris-agreement,Paris Agreement,National,Political,,
34,7058327,Greg Hunt: Restore CSIRO Scientist John Church to his valuable role at work.,https://api.change.org/p/greg-hunt-restore-csiro-scientist-john-church-to-his-valuable-role-at-work,Global,,,,
35,1305107,To the Australian Government and the Governor General: We Reject Tony Abbott and the LNP,https://api.change.org/p/to-the-australian-government-and-the-governor-general-we-reject-tony-abbott-and-the-lnp,Global,Human Rights,,,
36,6575405,Stop the Dakota Access Pipeline,https://api.change.org/p/stop-the-dakota-access-pipeline,National,Political,Clean energy,,
37,8525807,United States Department of the Interior: Stop the Auctioning of Wayne National Forest for Oil,https://api.change.org/p/united-states-department-of-the-interior-stop-the-auctioning-of-wayne-national-forest-for-oil,National,Political,Water,Wildlife,
38,9706256,U.S. Senate: Stop Rex Tillerson from becoming Secretary of State,https://api.change.org/p/u-s-senate-stop-rex-tillerson-from-becoming-secretary-of-state,National,Political,Human Rights,,
39,5582494,Petition Sierra Club Board of Directors to Endorse Bernie Sanders!,https://api.change.org/p/petition-sierra-club-board-of-directors-to-endorse-bernie-sanders,National,Political,US Elections,,
